ID,Route,Sub-route / Section,Interaction / Element,Event Type,Event Name,Event JSON (event_data payload),Description,Priority,Already Implemented
1,/login,Page Load,Page view on mount,page_view,login_page_view,"{""page"": ""login"", ""url"": ""/login""}",User lands on the login screen before authenticating via Microsoft SSO.,High,Yes
2,/login,CTA,Sign In button click,button_click,login_sign_in_clicked,"{""button"": ""sign_in"", ""page"": ""login"", ""auth_method"": ""microsoft_sso""}",User clicks the primary Sign in button — critical SSO auth funnel step.,High,Yes
3,/login,Footer Links,Privacy Policy link click,link_click,login_privacy_policy_clicked,"{""link"": ""privacy_policy"", ""page"": ""login""}",User clicks Privacy Policy link on the login page.,Low,No
4,/login,Footer Links,Legal Notice link click,link_click,login_legal_notice_clicked,"{""link"": ""legal_notice"", ""page"": ""login""}",User clicks Legal Notice link on the login page.,Low,No
5,/login,Footer Links,Help & Support link click,link_click,login_help_support_clicked,"{""link"": ""help_support"", ""page"": ""login""}",User clicks Help & Support link on the login page.,Low,No
6,/consent,Page Load,Page view on mount,page_view,consent_page_view,"{""page"": ""consent"", ""url"": ""/consent""}",User arrives at the AI usage consent page after SSO login completes.,High,No
7,/consent,CTA,Accept button click (consent granted),button_click,consent_accepted,"{""button"": ""accept"", ""page"": ""consent""}",User accepts the AI platform usage warning — unlocks full platform access. Critical funnel event.,High,No
8,/consent,Footer Links,Privacy Policy link click,link_click,consent_privacy_policy_clicked,"{""link"": ""privacy_policy"", ""page"": ""consent""}",User clicks Privacy Policy on consent page.,Low,No
9,/consent,Footer Links,Legal Notice link click,link_click,consent_legal_notice_clicked,"{""link"": ""legal_notice"", ""page"": ""consent""}",User clicks Legal Notice on consent page.,Low,No
10,/consent,Footer Links,Help & Support link click,link_click,consent_help_support_clicked,"{""link"": ""help_support"", ""page"": ""consent""}",User clicks Help & Support on consent page.,Low,No
11,global/sidebar,Navigation,Navigate to Summary,navigation,nav_summary_clicked,"{""nav_item"": ""summary"", ""destination"": ""/summary"", ""from_page"": ""{{current_page}}""}",User clicks the Summary nav item — main dashboard route.,High,Yes (page_view)
12,global/sidebar,Navigation,Navigate to Skill & Compliance,navigation,nav_capability_clicked,"{""nav_item"": ""capability"", ""destination"": ""/capability"", ""from_page"": ""{{current_page}}""}",User clicks the Skill & Compliance nav item.,High,Yes (page_view)
13,global/sidebar,Navigation,Navigate to FCRs,navigation,nav_fcrs_clicked,"{""nav_item"": ""fcrs"", ""destination"": ""/fcrs"", ""from_page"": ""{{current_page}}""}",User clicks the FCRs nav item.,High,Yes (page_view)
14,global/sidebar,Navigation,Navigate to Ask AI,navigation,nav_askai_clicked,"{""nav_item"": ""askai"", ""destination"": ""/askai"", ""from_page"": ""{{current_page}}""}",User clicks the Ask AI nav item.,High,Yes (page_view)
15,global/sidebar,Navigation,Navigate to Reference,navigation,nav_reference_clicked,"{""nav_item"": ""reference"", ""destination"": ""/reference"", ""from_page"": ""{{current_page}}""}",User clicks the Reference nav item.,Medium,Yes (page_view)
16,global/sidebar,User Controls,Settings click,button_click,sidebar_settings_clicked,"{""button"": ""settings"", ""location"": ""sidebar""}",User clicks Settings in the sidebar user section.,Medium,No
17,global/sidebar,User Controls,Log out click (sidebar),button_click,sidebar_logout_clicked,"{""button"": ""logout"", ""location"": ""sidebar""}",User clicks Log out in the sidebar user section.,High,No
18,global/topbar,AI Search,Search query submitted via Enter key,search,topbar_ai_search_enter,"{""query"": ""{{search_text}}"", ""trigger"": ""enter_key"", ""page"": ""{{current_page}}"", ""redirected_to"": ""askai""}",User types in global topbar search and hits Enter — forwards query to Ask AI page.,High,No
19,global/topbar,AI Search,AI Search button click,button_click,topbar_ai_search_btn_clicked,"{""button"": ""ai_search"", ""query"": ""{{search_text}}"", ""page"": ""{{current_page}}"", ""redirected_to"": ""askai""}",User clicks the AI Search button in the topbar.,High,No
20,global/topbar,Theme,Dark / Light mode toggle,button_click,topbar_theme_toggled,"{""button"": ""theme_toggle"", ""new_theme"": ""{{dark|light}}"", ""page"": ""{{current_page}}""}",User toggles between dark mode and light mode.,Low,No
21,global/topbar,Notifications,Notifications bell click (open panel),button_click,topbar_notifications_opened,"{""button"": ""notifications_bell"", ""notification_count"": 4, ""page"": ""{{current_page}}""}",User opens the notifications dropdown panel.,Medium,No
22,global/topbar,Notifications,Notifications panel closed (X click),button_click,topbar_notifications_closed,"{""button"": ""notifications_close"", ""page"": ""{{current_page}}""}",User closes the notifications panel via X button.,Low,No
23,global/topbar,Notifications,Notification item viewed/read,impression,topbar_notification_item_viewed,"{""notification_type"": ""{{high|medium|low}}"", ""notification_text"": ""{{text}}"", ""notification_index"": ""{{index}}"", ""page"": ""{{current_page}}""}",User sees a specific notification item (e.g. overdue FCR alert or compliance flag).,Medium,No
24,global/topbar,User Controls,Sign out button click (topbar),button_click,topbar_signout_clicked,"{""button"": ""sign_out"", ""location"": ""topbar""}",User clicks Sign out button in the topbar.,High,No
25,/summary,Page Load,Page view,page_view,summary_page_view,"{""page"": ""summary"", ""url"": ""/summary""}",User views the Summary/Dashboard page.,High,Yes
26,/summary,Filter Bar,Timeframe filter dropdown opened,filter_opened,summary_filter_timeframe_opened,"{""filter"": ""timeframe"", ""current_value"": ""{{current_value}}"", ""page"": ""summary""}",User opens the Timeframe filter dropdown on the Summary page.,High,No
27,/summary,Filter Bar > Timeframe,Select 'All time',filter_applied,summary_filter_timeframe_all_time,"{""filter"": ""timeframe"", ""value"": null, ""label"": ""All time"", ""page"": ""summary""}",User selects All time — resets timeframe filter.,High,No
28,/summary,Filter Bar > Timeframe,Select 'Past 7 days',filter_applied,summary_filter_timeframe_7d,"{""filter"": ""timeframe"", ""value"": ""7"", ""label"": ""Past 7 days"", ""page"": ""summary""}",User selects Past 7 days timeframe filter.,High,No
29,/summary,Filter Bar > Timeframe,Select 'Past 30 days',filter_applied,summary_filter_timeframe_30d,"{""filter"": ""timeframe"", ""value"": ""30"", ""label"": ""Past 30 days"", ""page"": ""summary""}",User selects Past 30 days timeframe filter.,High,No
30,/summary,Filter Bar > Timeframe,Select 'Past quarter' (90 days),filter_applied,summary_filter_timeframe_quarter,"{""filter"": ""timeframe"", ""value"": ""90"", ""label"": ""Past quarter"", ""page"": ""summary""}",User selects Past quarter (90-day) filter.,High,No
31,/summary,Filter Bar > Timeframe,Select 'Past 6 months',filter_applied,summary_filter_timeframe_6m,"{""filter"": ""timeframe"", ""value"": ""180"", ""label"": ""Past 6 months"", ""page"": ""summary""}",User selects Past 6 months filter.,High,No
32,/summary,Filter Bar > Timeframe,Select 'Past year',filter_applied,summary_filter_timeframe_365d,"{""filter"": ""timeframe"", ""value"": ""365"", ""label"": ""Past year"", ""page"": ""summary""}",User selects Past year (365 days) filter.,High,No
33,/summary,Filter Bar > Timeframe,Select 'Custom range' (opens date pickers),filter_applied,summary_filter_timeframe_custom_opened,"{""filter"": ""timeframe"", ""value"": ""custom"", ""label"": ""Custom range"", ""page"": ""summary""}",User selects Custom range option — triggers date picker inputs to appear.,Medium,No
34,/summary,Filter Bar > Timeframe > Custom,Custom From date input changed,input_changed,summary_filter_custom_from_set,"{""filter"": ""timeframe_custom_from"", ""value"": ""{{YYYY-MM-DD}}"", ""page"": ""summary""}",User sets the start date of the custom date range filter.,Medium,No
35,/summary,Filter Bar > Timeframe > Custom,Custom To date input changed,input_changed,summary_filter_custom_to_set,"{""filter"": ""timeframe_custom_to"", ""value"": ""{{YYYY-MM-DD}}"", ""page"": ""summary""}",User sets the end date of the custom date range filter.,Medium,No
36,/summary,Filter Bar > Timeframe > Custom,Apply custom date range button click,button_click,summary_filter_custom_date_applied,"{""filter"": ""timeframe"", ""value"": ""custom"", ""from"": ""{{from_date}}"", ""to"": ""{{to_date}}"", ""page"": ""summary""}",User applies the custom date range — triggers data refresh.,High,No
37,/summary,Filter Bar,Therapeutic Area filter dropdown opened,filter_opened,summary_filter_ta_opened,"{""filter"": ""therapeutic_area"", ""current_value"": ""{{current_value}}"", ""page"": ""summary""}",User opens the Therapeutic Area filter dropdown.,High,No
38,/summary,Filter Bar > TA,Select 'All TAs',filter_applied,summary_filter_ta_all,"{""filter"": ""therapeutic_area"", ""value"": null, ""label"": ""All TAs"", ""page"": ""summary""}",User selects All TAs (resets TA filter).,Medium,No
39,/summary,Filter Bar > TA,Select 'Immunology (IMM)',filter_applied,summary_filter_ta_imm,"{""filter"": ""therapeutic_area"", ""value"": ""IMM"", ""label"": ""Immunology"", ""page"": ""summary""}",User filters Summary by Immunology therapeutic area.,High,No
40,/summary,Filter Bar > TA,Select 'Oncology (ONC)',filter_applied,summary_filter_ta_onc,"{""filter"": ""therapeutic_area"", ""value"": ""ONC"", ""label"": ""Oncology"", ""page"": ""summary""}",User filters Summary by Oncology therapeutic area.,High,No
